,From,To,CodeTo,Hour,Date,Price,Id,Score
0,Madrid,Milán,milan,18:55:00,2018-08-11,44,3634986164243419_0,0.5463917525773196
1,Madrid,Ibiza,ibiza,05:10:00,2018-08-11,46,3995626009250365_0,0.5257731958762887
2,Madrid,Oporto,porto,19:00:00,2018-08-11,46,3600901009069610_0,0.5257731958762887
0,Ibiza,Zaragoza,zaragoza,11:40:00,2018-08-13,17,3652578111758645_0,0.7926829268292683
1,Ibiza,Santander,santander,08:35:00,2018-08-13,25,3423879471057966_0,0.6951219512195121
2,Ibiza,Valencia,valencia,12:10:00,2018-08-13,34,3611896173928970_0,0.5853658536585367
0,Oporto,Lisboa,lisbon,13:55:00,2018-08-13,12,3625089920637730_0,0.9104477611940298
1,Oporto,Liverpool,liverpool,21:00:00,2018-08-13,41,3647080152183485_0,0.6940298507462687
2,Oporto,Madrid,madrid,06:55:00,2018-08-13,56,3615194316164319_0,0.582089552238806
0,Palma,Berlín,berlin,07:40:00,2018-08-13,12,3654777258681302_0,0.7551020408163265
0,Santiago de Compostela,Madrid,madrid,21:40:00,2018-08-13,35,3615194316271595_0,0.91725768321513
1,Santiago de Compostela,Dublín,dublin,21:55:00,2018-08-13,68,3809808132093948_0,0.8392434988179669
2,Santiago de Compostela,Alicante,alicante,22:15:00,2018-08-13,76,3718548451418787_0,0.8203309692671394
0,Sofía,Atenas,athens,05:10:00,2018-08-15,12,3626189432012458_0,0.9008264462809917
1,Nápoles,Venecia,venice,18:45:00,2018-08-15,17,3622890897304056_0,0.8982035928143712
2,Nápoles,Milán,milan,12:00:00,2018-08-15,20,3654776714130284_0,0.8802395209580838
0,Zaragoza,Palma,palma,13:20:00,2018-08-15,13,3930754385671043_0,0.9432314410480349
1,Zaragoza,Milán,milan,17:45:00,2018-08-15,45,3644881129987741_0,0.8034934497816594
2,Zaragoza,Londres,london,17:20:00,2018-08-15,67,3608597246770412_0,0.7074235807860262
0,Santander,Barcelona,barcelona,12:25:00,2018-08-15,33,3622890897447137_0,0.8316326530612245
0,Valencia,Ibiza,ibiza,10:05:00,2018-08-15,36,3602000176569887_0,0.6949152542372881
1,Valencia,Sevilla,seville,15:30:00,2018-08-15,39,3622890897640005_0,0.6694915254237288
2,Valencia,Madrid,madrid,18:45:00,2018-08-15,40,3638284206088846_0,0.6610169491525424
1,Madrid,Oporto,porto,19:00:00,2018-08-15,34,3645980641346561_0,0.5142857142857142
2,Madrid,Ibiza,ibiza,20:35:00,2018-08-15,35,3652578108152658_0,0.5
0,Lisboa,Oporto,porto,20:20:00,2018-08-15,12,3637184548580513_0,0.9142857142857143
1,Lisboa,Ibiza,ibiza,23:20:00,2018-08-15,53,3599801544266204_0,0.6214285714285714
2,Lisboa,Madrid,madrid,15:25:00,2018-08-15,69,3671269327923014_0,0.5071428571428571
1,Liverpool,Dublín,dublin,13:25:00,2018-08-15,18,3620691873754655_0,0.7906976744186046
2,Liverpool,Gerona,barcelona,20:10:00,2018-08-15,29,3648179664715360_0,0.6627906976744187
1,Dublín,Liverpool,liverpool,07:00:00,2018-08-15,16,3620691873516765_0,0.6444444444444444
0,Alicante,Ibiza,ibiza,22:10:00,2018-08-15,30,3652578108285840_0,0.7391304347826086
1,Alicante,Milán,milan,15:20:00,2018-08-15,47,3639383570670462_0,0.5913043478260869
2,Alicante,Madrid,madrid,20:10:00,2018-08-15,51,3650379046484051_0,0.5565217391304348
1,Sevilla,Ibiza,ibiza,10:50:00,2018-08-15,38,3625089920816822_0,0.6346153846153846
0,Atenas,Madrid,madrid,10:00:00,2018-08-17,256,3543726755194840_0,1.0
0,Milán,Madrid,madrid,07:10:00,2018-08-17,53,3641583165408423_0,1.0
0,Venecia,Madrid,madrid,11:15:00,2018-08-17,163,3627288979628300_0,1.0
0,Roma,Madrid,madrid,18:00:00,2018-08-17,107,3764728124178470_0,1.0
0,Palma,Madrid,madrid,06:00:00,2018-08-17,57,3626190052156491_0,1.0
0,Londres,Madrid,madrid,10:00:00,2018-08-17,57,3844992225206050_0,1.0
0,Tenerife,Madrid,madrid,04:30:00,2018-08-17,174,3648179675426270_0,1.0
0,Lanzarote,Madrid,madrid,10:45:00,2018-08-17,187,3731742711581267_0,1.0
0,Barcelona,Madrid,madrid,06:25:00,2018-08-17,59,3798812687098612_0,1.0
0,Bruselas,Madrid,madrid,07:30:00,2018-08-17,26,3633886520129141_0,1.0
0,Ibiza,Madrid,madrid,21:30:00,2018-08-17,32,3848290808574439_0,1.0
0,Sevilla,Madrid,madrid,16:40:00,2018-08-17,99,3639383600536789_0,1.0
0,Oporto,Madrid,madrid,09:45:00,2018-08-17,46,3654776958983908_0,1.0
0,Santiago de Compostela,Madrid,madrid,06:00:00,2018-08-17,41,3832897739605289_0,1.0
0,Dublín,Madrid,madrid,14:45:00,2018-08-17,99,3809808026627332_0,1.0
0,Praga,Madrid,madrid,12:10:00,2018-08-17,100,3519537397245926_0,1.0
0,Berlín,Madrid,madrid,10:50:00,2018-08-17,77,3777922249712125_0,1.0
0,Liverpool,Madrid,madrid,07:50:00,2018-08-17,138,3649279563040303_0,1.0
0,Mánchester,Madrid,madrid,08:05:00,2018-08-17,61,3634986031184364_0,1.0
0,Asturias,Madrid,madrid,14:20:00,2018-08-17,114,3764728008863615_0,1.0
0,Valencia,Madrid,madrid,18:45:00,2018-08-17,85,3631687141401636_0,1.0
